id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_2429072,10-02-2023,2976.0,2976.0,0.0,0.0,0.0,0.0
JMAN_9043466,13-01-2023,20724.72,21474.84,499.56,250.56,0.0,499.56
JMAN_2452556,24-02-2023,605.76,817.8,181.92,30.12,0.0,0.0
JMAN_2455113,03-03-2023,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_18127937,10-02-2023,2100.0,420.0,-1680.0,0.0,-1680.0,0.0
JMAN_2373631,03-03-2023,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_2447279,03-03-2023,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_9004478,20-01-2023,4182.0,4182.0,0.0,0.0,0.0,0.0
JMAN_2477864,24-03-2023,648.0,792.0,144.0,0.0,0.0,0.0
JMAN_2445629,20-01-2023,14952.0,14952.0,0.0,0.0,0.0,0.0
JMAN_9034877,17-03-2023,1788.0,1788.0,0.0,0.0,0.0,0.0
JMAN_14450264,17-03-2023,3792.0,4272.0,480.0,0.0,0.0,0.0
JMAN_18839586,10-02-2023,336.0,336.0,0.0,0.0,0.0,0.0
JMAN_12250851,03-03-2023,242.04,251.52,0.0,9.48,0.0,0.0
JMAN_9601250,13-01-2023,1632.0,1632.0,0.0,0.0,0.0,0.0
JMAN_9016831,27-01-2023,4500.0,4500.0,0.0,0.0,0.0,0.0
JMAN_18411228,06-01-2023,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_10361494,24-03-2023,228.0,,-228.0,0.0,0.0,-228.0
JMAN_18409952,13-01-2023,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_2468132,17-02-2023,600.0,600.0,0.0,0.0,0.0,0.0
JMAN_9005782,10-02-2023,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_9023427,03-03-2023,72.6,77.16,0.0,4.56,0.0,0.0
JMAN_9002816,27-01-2023,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_18391384,10-03-2023,168.0,168.0,0.0,0.0,0.0,0.0
