id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn
JMAN_2429072,2023-02-10,2976.0,1,1,0,100,0,0,72,13,2,100 - 249,1,0,0,0,1,0,0,0,0,2976.0,2976.0,2.0,0.5,1.0,0
JMAN_9043466,2023-01-13,20724.72,1,1,1,100,0,0,0,16,4,250 - 499,1,0,0,0,0,1,1,0,0,21474.84,20724.72,9.0,0.111111111,1.0,0
JMAN_2452556,2023-02-24,605.76,1,1,1,0,15,1,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,817.8,605.76,1.0,0.0,1.0,0
JMAN_2455113,2023-03-03,300.0,1,0,0,0,7,0,0,17,3,01-Sep,1,0,0,0,0,1,0,0,0,300.0,300.0,1.0,0.0,1.0,0
JMAN_18127937,2023-02-10,2100.0,1,1,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,420.0,2100.0,5.0,0.0,0.0,1
JMAN_2373631,2023-03-03,60.0,0,0,0,0,10,0,0,17,4,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0
JMAN_2447279,2023-03-03,300.0,1,0,0,0,10,0,0,17,2,50 - 99,0,0,1,0,1,0,0,0,0,300.0,300.0,1.0,0.0,1.0,0
JMAN_9004478,2023-01-20,4182.0,1,1,0,0,6,0,0,17,4,50 - 99,0,1,0,0,1,0,0,0,0,4182.0,4182.0,5.0,0.4,1.0,0
JMAN_2477864,2023-03-24,648.0,0,0,0,0,8,0,0,17,2,50 - 99,0,1,0,0,1,0,0,0,0,792.0,648.0,6.0,0.166666667,1.0,0
JMAN_2445629,2023-01-20,14952.0,1,1,0,100,8,0,0,16,1,Oct-49,0,0,1,0,0,1,0,0,0,14952.0,14952.0,14.0,0.153846154,0.928571429,0
JMAN_9034877,2023-03-17,1788.0,1,1,1,0,6,0,0,17,3,Oct-49,0,1,0,0,0,1,0,0,0,1788.0,1788.0,1.0,1.0,1.0,0
JMAN_14450264,2023-03-17,3792.0,1,1,0,100,0,0,6,6,1,Oct-49,0,0,1,0,0,1,0,0,0,4272.0,3792.0,4.0,0.0,0.25,0
JMAN_18839586,2023-02-10,336.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,336.0,336.0,2.0,0.0,0.0,0
JMAN_12250851,2023-03-03,242.04,1,0,0,0,0,0,0,4,1,01-Sep,1,0,0,0,0,1,0,0,0,251.52,242.04,1.0,0.0,1.0,1
JMAN_9601250,2023-01-13,1632.0,1,1,0,0,6,1,0,13,5,01-Sep,0,0,1,0,0,1,0,0,0,1632.0,1632.0,4.0,0.0,0.75,0
JMAN_9016831,2023-01-27,4500.0,1,1,1,0,6,0,0,16,3,100 - 249,0,1,0,0,1,0,0,0,0,4500.0,4500.0,1.0,0.0,1.0,0
JMAN_18411228,2023-01-06,168.0,1,0,0,0,0,0,0,16,1,50 - 99,1,0,0,0,1,0,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_10361494,2023-03-24,228.0,1,0,0,0,10,0,0,9,1,01-Sep,1,0,0,0,0,1,0,0,0,0.0,228.0,1.0,0.0,1.0,1
JMAN_18409952,2023-01-13,228.0,1,0,0,0,0,0,0,16,1,Oct-49,0,1,0,0,0,1,0,0,0,228.0,228.0,1.0,0.0,0.0,0
JMAN_2468132,2023-02-17,600.0,1,0,0,0,11,0,0,17,3,Oct-49,0,0,1,0,0,1,0,0,0,600.0,600.0,2.0,0.0,1.0,1
JMAN_9005782,2023-02-10,180.0,0,0,0,0,8,0,0,13,5,01-Sep,1,0,0,0,0,1,0,0,0,180.0,180.0,3.0,0.0,1.0,0
JMAN_9023427,2023-03-03,72.6,0,0,0,0,18,1,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,77.16,72.6,1.0,0.0,1.0,0
JMAN_9002816,2023-01-27,60.0,0,0,0,0,8,0,0,17,3,01-Sep,0,0,0,1,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0
JMAN_18391384,2023-03-10,168.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_9773302,2023-01-06,115.8,0,0,0,0,5,0,0,11,5,01-Sep,1,0,0,0,0,1,0,0,0,117.12,115.8,1.0,0.0,1.0,0
JMAN_13717602,2023-03-03,1392.0,1,1,0,0,11,0,0,3,2,Oct-49,0,0,1,0,0,1,0,0,0,1392.0,1392.0,2.0,0.0,1.0,0
JMAN_2468379,2023-02-24,4704.0,1,1,0,100,12,0,0,17,3,Oct-49,0,0,1,0,0,1,0,0,0,4704.0,4704.0,4.0,0.0,0.75,0
JMAN_2475116,2023-03-03,852.0,1,1,0,0,11,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,828.0,852.0,1.0,0.0,1.0,1
JMAN_11710046,2023-01-20,2376.0,1,1,0,100,0,0,5,4,1,Oct-49,0,0,1,0,0,1,0,0,0,2376.0,2376.0,2.0,0.5,1.0,0
JMAN_11265556,2023-03-24,6468.0,1,0,0,0,8,0,0,17,1,250 - 499,0,1,0,0,0,1,1,0,0,6468.0,6468.0,11.0,0.0,0.636363636,0
JMAN_9034116,2023-02-10,1452.0,1,1,0,0,12,0,0,16,3,Oct-49,0,0,1,0,0,1,0,0,0,1848.0,1452.0,1.0,1.0,1.0,0
JMAN_9744797,2023-03-03,180.0,0,0,0,0,4,0,0,12,5,01-Sep,0,1,0,0,0,1,0,0,0,180.0,180.0,3.0,0.333333333,1.0,0
JMAN_2472023,2023-01-13,672.0,1,1,0,0,2,0,0,17,3,01-Sep,0,1,0,0,0,1,0,0,0,672.0,672.0,2.0,0.0,1.0,0
JMAN_2459144,2023-02-24,4104.0,1,0,0,0,0,0,0,17,3,Oct-49,1,0,0,0,0,1,0,0,0,4560.0,4104.0,18.0,0.058823529,0.944444444,0
JMAN_9810546,2023-01-20,35807.64,1,1,0,50,9,0,0,26,1,5000+,0,0,1,0,0,1,0,1,0,23760.0,35807.64,45.0,0.095238095,0.933333333,1
JMAN_2461321,2023-03-24,1188.0,1,1,0,0,8,0,0,13,1,Oct-49,1,0,0,0,0,1,0,0,0,1188.0,1188.0,1.0,1.0,1.0,0
JMAN_10303029,2023-01-13,41400.0,1,1,1,0,6,0,0,8,1,250 - 499,0,0,1,0,0,1,1,0,0,41400.0,41400.0,23.0,0.304347826,1.0,0
JMAN_2457086,2023-03-17,2856.0,1,1,0,0,11,0,0,17,3,50 - 99,0,0,1,0,1,0,0,0,0,3672.0,2856.0,7.0,0.0,1.0,0
JMAN_2478859,2023-01-13,1368.0,1,0,0,0,9,0,0,17,3,50 - 99,0,0,1,0,1,0,0,0,0,1596.0,1368.0,6.0,0.333333333,1.0,0
JMAN_10078002,2023-03-10,21384.0,1,1,0,80,9,0,0,10,1,5000+,0,0,1,0,0,1,1,0,0,22572.0,21384.0,18.0,0.1875,0.888888889,0
JMAN_9839217,2023-03-10,3072.0,1,1,0,100,0,0,0,11,3,01-Sep,1,0,0,0,0,1,0,0,0,3072.0,3072.0,4.0,0.25,1.0,0
JMAN_9387901,2023-01-13,456.0,1,0,0,0,6,1,0,13,5,500 - 999,0,0,1,0,0,1,0,1,0,456.0,456.0,1.0,0.0,1.0,1
JMAN_2460501,2023-03-10,31392.0,1,1,0,0,0,0,1,17,3,100 - 249,0,0,1,0,1,0,0,0,0,40032.0,31392.0,24.0,0.458333333,1.0,0
JMAN_11272416,2023-01-27,9600.0,1,1,0,0,8,0,21,5,1,100 - 249,0,0,1,0,1,0,0,0,0,9600.0,9600.0,10.0,0.0,1.0,0
JMAN_9022859,2023-03-03,228.0,1,0,0,0,10,0,0,17,3,01-Sep,0,0,1,0,0,1,0,0,0,228.0,228.0,1.0,0.0,1.0,0
JMAN_2439655,2023-03-31,60.0,0,0,0,0,7,0,0,17,5,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0
JMAN_10190396,2023-02-24,18960.0,1,1,0,0,15,1,0,7,1,250 - 499,0,1,0,0,0,1,1,0,0,0.0,18960.0,20.0,0.214285714,0.7,1
