id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_2429072,2023-02-10,2976.0,1,1,0,100,0,0,72,13,2,100 - 249,1,0,0,0,1,0,0,0,0,2976.0,2976.0,2.0,0.5,1.0,0,0.0,7.998671361015776,7.998671361015776,52,0.0,0,1.0986122886681098,1.0
JMAN_9043466,2023-01-13,20724.72,1,1,1,100,0,0,0,16,4,250 - 499,1,0,0,0,0,1,1,0,0,21474.84,20724.72,9.0,0.111111111,1.0,0,3.6194457633203196,9.939130720051441,9.974683861337766,64,0.0,0,2.302585092994046,1.0
JMAN_2452556,2023-02-24,605.76,1,1,1,0,15,1,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,817.8,605.76,1.0,0.0,1.0,0,35.0039619651347,6.408133325723472,6.707839853787134,68,0.0625,16,0.6931471805599453,0.0
JMAN_2455113,2023-03-03,300.0,1,0,0,0,7,0,0,17,3,01-Sep,1,0,0,0,0,1,0,0,0,300.0,300.0,1.0,0.0,1.0,0,0.0,5.707110264748875,5.707110264748875,68,0.0,7,0.6931471805599453,0.0
JMAN_18127937,2023-02-10,2100.0,1,1,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,420.0,2100.0,5.0,0.0,0.0,1,-80.0,7.650168700845001,6.042632833682381,68,0.0,0,1.791759469228055,0.0
JMAN_2373631,2023-03-03,60.0,0,0,0,0,10,0,0,17,4,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0,0.0,4.110873864173311,4.110873864173311,68,0.0,10,0.6931471805599453,0.0
JMAN_2447279,2023-03-03,300.0,1,0,0,0,10,0,0,17,2,50 - 99,0,0,1,0,1,0,0,0,0,300.0,300.0,1.0,0.0,1.0,0,0.0,5.707110264748875,5.707110264748875,68,0.0,10,0.6931471805599453,0.0
JMAN_9004478,2023-01-20,4182.0,1,1,0,0,6,0,0,17,4,50 - 99,0,1,0,0,1,0,0,0,0,4182.0,4182.0,5.0,0.4,1.0,0,0.0,8.338783971442199,8.338783971442199,68,0.0,6,1.791759469228055,0.0
JMAN_2477864,2023-03-24,648.0,0,0,0,0,8,0,0,17,2,50 - 99,0,1,0,0,1,0,0,0,0,792.0,648.0,6.0,0.166666667,1.0,0,22.22222222222222,6.47543271670409,6.675823221634848,68,0.0,8,1.9459101490553132,0.0
JMAN_2445629,2023-01-20,14952.0,1,1,0,100,8,0,0,16,1,Oct-49,0,0,1,0,0,1,0,0,0,14952.0,14952.0,14.0,0.153846154,0.928571429,0,0.0,9.612667227583843,9.612667227583843,64,0.0,8,2.70805020110221,1.0
JMAN_9034877,2023-03-17,1788.0,1,1,1,0,6,0,0,17,3,Oct-49,0,1,0,0,0,1,0,0,0,1788.0,1788.0,1.0,1.0,1.0,0,0.0,7.489412083508719,7.489412083508719,68,0.0,6,0.6931471805599453,0.0
JMAN_14450264,2023-03-17,3792.0,1,1,0,100,0,0,6,6,1,Oct-49,0,0,1,0,0,1,0,0,0,4272.0,3792.0,4.0,0.0,0.25,0,12.658227848101266,8.2409125416889,8.360071435644025,24,0.0,0,1.6094379124341003,1.0
JMAN_18839586,2023-02-10,336.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,336.0,336.0,2.0,0.0,0.0,0,0.0,5.820082930352362,5.820082930352362,68,0.0,0,1.0986122886681098,0.0
