id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_2429072,10-02-2023,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9043466,13-01-2023,9.0,0.111111111,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_2452556,24-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2455113,03-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_18127937,10-02-2023,5.0,0.0,,5.0,0,0,0.0,0.0,0,0
JMAN_2373631,03-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2447279,03-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9004478,20-01-2023,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_2477864,24-03-2023,6.0,0.166666667,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_2445629,20-01-2023,14.0,0.153846154,13.0,14.0,0,1,0.928571429,0.928571429,0,0
JMAN_9034877,17-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14450264,17-03-2023,4.0,0.0,1.0,4.0,0,1,0.25,0.25,0,0
JMAN_18839586,10-02-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_12250851,03-03-2023,1.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_9601250,13-01-2023,4.0,0.0,3.0,4.0,0,0,0.75,0.75,0,0
JMAN_9016831,27-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18411228,06-01-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_10361494,24-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18409952,13-01-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_2468132,17-02-2023,2.0,0.0,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_9005782,10-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_9023427,03-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9002816,27-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18391384,10-03-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_9773302,06-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_13717602,03-03-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_2468379,24-02-2023,4.0,0.0,3.0,4.0,0,1,0.75,0.75,0,0
JMAN_2475116,03-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_11710046,20-01-2023,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_11265556,24-03-2023,11.0,0.0,7.0,11.0,0,1,0.636363636,0.636363636,0,0
JMAN_9034116,10-02-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9744797,03-03-2023,3.0,0.333333333,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_2472023,13-01-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_2459144,24-02-2023,18.0,0.058823529,16.0,18.0,0,1,0.944444444,0.888888889,1,0
JMAN_9810546,20-01-2023,45.0,0.095238095,42.0,45.0,0,1,0.933333333,0.933333333,0,0
JMAN_2461321,24-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10303029,13-01-2023,23.0,0.304347826,23.0,23.0,1,0,1.0,1.0,0,0
JMAN_2457086,17-03-2023,7.0,0.0,7.0,7.0,0,1,1.0,1.0,0,0
JMAN_2478859,13-01-2023,6.0,0.333333333,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_10078002,10-03-2023,18.0,0.1875,16.0,18.0,0,1,0.888888889,0.888888889,0,0
JMAN_9839217,10-03-2023,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9387901,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2460501,10-03-2023,24.0,0.458333333,24.0,24.0,0,1,1.0,1.0,0,0
JMAN_11272416,27-01-2023,10.0,0.0,10.0,10.0,0,0,1.0,1.0,0,0
JMAN_9022859,03-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2439655,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10190396,24-02-2023,20.0,0.214285714,14.0,20.0,0,1,0.7,0.7,0,0
JMAN_9552552,20-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
